작품명,등급,좋아요,평점,장르,댓글수 평균,1화 댓글수,성공
신석기녀,2,99999,9.97,액션,4232.8,3538,1
격기3반,2,95361,9.41,액션,1418.6,2458,1
치즈인더트랩,2,99999,9.99,스릴러,1603.8,5353,1
언덕 위의 제임스,2,99999,9.91,개그,4437,6958,1
그래서 나는 안티팬과 결혼했다,3,99999,9.93,순정,817.4,2010,0
모죠의 일지,3,62454,9.96,개그,4681.4,6456,0
그 판타지 세계에서 사는 법,3,74651,9.97,판타지,1981.4,4141,0
203호 저승사자,3,93456,9.91,개그,5336.4,8404,0
미시령,3,99999,9.93,스릴러,4421,7616,0
칼부림,4,44839,9.9,판타지,2710.4,6099,0
"안녕, 대학생",4,85873,8.01,순정,2416.4,3669,0
푸른사막 아아루,4,80045,9.97,순정,1719.8,4239,0
로베스의 완전감각,4,38648,9.97,판타지,1192.4,2404,0
연애혁명,1,99999,9.87,개그,22222.8,46830,1
간 떨어지는 동거,1,99999,9.98,일상,3251,4498,1
쿠베라,1,99999,9.96,판타지,11756.6,24145,1
겟백,2,99999,9.97,스릴러,1583.2,2995,1
좋아하는 부분,2,99999,9.94,순정,8094.6,10243,1
병의 기록,2,20775,9.8,일상,2162.4,4123,1
이계 무슨 황비,2,44853,9.95,판타지,916.2,2051,1
가타부타타,3,70706,9.95,순정,1082,786,0
Doll 체인지,4,99999,9.97,판타지,4577.6,9401,0
오일머니,3,24701,9.95,액션,654,1279,0
특수 영능력 수사반,4,77964,9.55,판타지,8099.8,10427,0
루시퍼의 경호원,4,17125,9.04,판타지,692.8,1757,0
돼지만화,4,24723,5.64,일상,3573.2,4083,0
날 가져요,4,60596,9.91,순정,569.4,1463,0
방 안의 코끼리,4,26892,9.96,순정,523,937,0
외모지상주의,1,99999,9.5,판타지,22510,37251,1
이제 곧 죽습니다,1,99999,9.86,판타지,2447.8,4058,1
더 게이머,1,99999,8.6,액션,14668.2,32249,1
화장 지워주는 남자,2,99999,9.92,일상,3567.2,8819,1
걸어서 30분,2,99999,9.98,순정,8057.2,15875,1
금혼령-조선혼인금지령,2,36449,9.88,순정,706.4,1535,1
하르모니아,3,85183,9.96,스릴러,1881.2,2453,0
라스트 서브미션,3,44264,9.9,순정,1411.2,2140,0
자취로운 생활,4,72833,9.96,일상,1567.8,2589,0
소녀 연대기,4,66423,9.94,순정,2484,3207,0
꽃미남 저승사자,4,77557,9.84,순정,594.8,1363,0
대표님이 구독하셨습니다,4,37543,8.7,순정,1147.6,1861,0
식스틴,4,69374,9.95,일상,1252.8,2188,0
합법해적 파르페,4,19777,9.94,판타지,1503.8,4892,0
호랑이형님,1,99999,9.98,액션,8051,17606,1
프리드로우,1,99999,9.9,액션,25770.6,34675,1
취사병 전설이 되다,1,66041,9.93,판타지,2151,5982,1
나이트런,2,99999,9.94,판타지,8059,17094,1
어글리후드,2,99999,9.98,액션,3128.6,5218,1
우리 오빠는 아이돌,2,99999,9.91,개그,3810.6,9858,1
늑대와 빨간모자,3,99999,9.98,일상,1967.8,3651,0
열불 로맨스,3,64650,9.9,개그,1418.8,3043,0
머리카락을 뽑으면,4,47205,9.87,일상,1087,2890,0
동토의 여명,4,98778,9.94,액션,4102.2,9674,0
아홉수 우리들,4,44447,9.97,순정,934.2,2243,0
우주최강대스타,4,40106,8.01,순정,536.2,1218,0
열렙전사,1,99999,9.95,액션,4638.6,8566,1
연애의 정령,1,99999,9.95,개그,6122.6,9022,1
검은인간,1,99999,9.98,액션,3719.2,4448,1
둥굴레차!,2,99999,9.97,액션,3262.6,6307,1
내일 ,2,99999,9.98,순정,3084.8,5466,1
인어를 위한 수영교실,2,88867,9.96,판타지,2174.2,5418,1
구름이 피어낸 꽃,3,87980,9.98,순정,1637,3391,0
가비지타임,3,38433,9.96,일상,976,860,0
내 어린고양이와 늙은 개,3,73811,9.89,일상,2172.2,5996,0
꽃 피는 날,4,99999,9.95,순정,4301,4435,0
무주의 맹시,4,83563,9.97,판타지,1875,4320,0
점핑오버,4,80809,9.92,순정,1148.2,1943,0
8월의 눈보라,4,77294,9.15,일상,2602.2,4759,0
