작품명,등급,좋아요,평점,장르,댓글수 평균,1화 댓글수,긍정,성공
잉잉잉,3,2440,9.94,개그,3684.4,7238,77.22,0
알파,3,20818,8.51,액션,1056.6,2258,33,0
기태류,3,5160,9.89,판타지,1590.2,1588,45.22,0
카오스어택,3,12557,9.95,판타지,5078.8,8577,74.61,0
킬러 김빵빵,3,42956,9.82,개그,3190.6,8157,46.59,0
소년전[Limit],3,5341,9.73,판타지,5219,7000,47.01,0
커피우유신화,3,5709,9.93,판타지,1999.4,4908,56.49,0
Penguin loves Mev,3,99999,9.96,일상,3817.8,7974,75.01,0
까뱅,3,42,8.8,개그,567.2,948,61.7,0
수업시간그녀,3,11197,9.94,일상,4133.5,4434,64.28,0
꽃밭에솔,4,9069,9.95,일상,2924.2,5790,74.16,0
의령수,4,84,9.88,스릴러,978.6,904,49.42,0
반지의 제왕,4,30,5.26,판타지,1476,3932,37.67,0
LOST,4,3705,9.53,스릴러,1992.8,1354,55.53,0
네로의 실험실,4,6435,9.95,판타지,9884.6,15656,63.91,0
그녀는 흡!혈귀,4,24180,9.94,판타지,4035.2,7363,64.54,0
문아,4,52964,9.95,판타지,6015.4,10437,71.37,0
아이들은 즐겁다,4,37338,9.95,일상,6250.6,8930,56.13,0
새벽9시,4,1681,9.7,스릴러,3939.4,7391,45.01,0
봄이여 오라,4,4233,9.93,판타지,2443,5868,59.17,0
수학 잘하는 법,4,41613,9.91,순정,1512.2,3188,45.93,0
흐드러지다,4,1915,9.92,액션,1312.8,2530,57.3,0
인형의 기사,4,3753,9.94,액션,3698,4140,58.73,0
옆집화랑,4,4368,9.92,판타지,2229,1794.8,60.31,0
뜨거운 것이 좋아,4,3593,9.66,순정,1630.2,3422,67.79,0
심장이 뛰다,4,1539,9.93,순정,1722.6,3202,74.67,0
타투,4,87,9.19,판타지,649.6,2010,49.2,0
모두에게 완자가,4,67638,9.71,일상,15706.6,20827,59.19,0
블랙시저스,4,37619,9.95,액션,3172.2,6204,48.59,0
얼룩말,4,5389,9.96,일상,2606.4,5251,70.95,0
미선 임파서블,4,43086,9.92,개그,8161.2,6364,50.72,0
딥(DEEP),4,50057,9.95,스릴러,3596,1746,51.1,0
별의 유언,4,9627,9.96,판타지,2703.6,4755,60.39,0
오란씨100,4,1434,9.73,개그,1417.2,1704,54.18,0
창위의일루젼,4,47,9.18,판타지,804.4,1476,52.75,0
미숙한 친구는 G구인,4,5928,9.94,개그,4658.2,7321,83.45,0
가족사진,4,1967,9.84,스릴러,1283.2,2208,49.06,0
불만시대,4,55046,9.78,개그,3036.4,3329,48.65,0
미쳐 날뛰는 생활툰,4,27313,9.79,일상,3331.4,7674,56.54,0
피리부는 남자,4,16224,9.95,스릴러,4527.2,8576,43.03,0
고고루키루,4,18537,9.96,판타지,1946,3402,69.39,0
까치우는 날,4,62,9.77,순정,1822.2,4566,49.85,0
일사부재리,4,14506,9.93,스릴러,1972.8,2870,41.16,0
맛집남녀,4,3381,7.46,개그,6248,6796,44.72,0
사랑의 아쿠아리움,4,6993,9.95,개그,1962.8,4238,74.3,0
뱀파이어,4,43574,9.95,액션,4028.6,7471,50.71,0
연옥님이 보고계셔,4,1043,9.84,순정,320,684,77.76,0
열쇠줍는아이,4,1497,9.84,판타지,1043.2,1380,38.41,0
뷰티플 게임,4,28,9.58,일상,473.2,1131,58.53,0
MY OH,4,32968,9.96,순정,2782.2,8116,74.82,0
도자기,4,1773,9.79,일상,931.6,3218,58.78,0
버퍼링,4,24215,9.94,스릴러,2967.8,7247,36.86,0
시간의 섬,4,11852,9.8,판타지,2173.2,4436,67.67,0
콘스탄쯔 이야기,4,5078,9.93,일상,1437.2,2411,59.11,0
좀비를 위한 나라는 없다,4,7253,9.94,판타지,2142,3668,58.94,0
월남특급,4,2428,9.87,개그,1465.2,1489,68.51,0
묵회,4,1422,9.91,일상,1018.8,1402,58.55,0
동경소녀,4,466,9.67,일상,1102.8,1876,49.97,0
피터팬날다,4,24,8.82,개그,1563,2025,36.6,0
MODERN BOYS,4,1687,9.57,판타지,1108.8,1328,65.79,0
그런지,4,1680,9.88,일상,918,1800,58.54,0
길에서 만나다,4,3709,9.75,순정,1184.8,3401,54,0
